Hotel,Attraction,Walking Distance,Walking Time,Transit/Bus Time,Transit Price
ibis Wien Messe,ZOOM Kindermuseum,4.7 km,56m,23m,€2.40 (Single Ticket)
ibis Wien Messe,Vorgartenmarkt,1.3 km,15m,15m (Walk recommended),Free (Walk)
ibis Wien Messe,Brunnenmarkt,7.4 km,1h 29m,34m,€2.40 (Single Ticket)
ibis Wien Messe,Tichy (ice cream),7.2 km,1h 26m,34m,€2.40 (Single Ticket)
ibis Wien Messe,Pötzleinsdorfer Schlosspark,8.5 km,1h 41m,39m,€2.40 (Single Ticket)
ibis Wien Messe,St. Stephen's Cathedral,3.4 km,40m,18m,€2.40 (Single Ticket)
ibis Wien Messe,Wiener Würstelstand,N/A,N/A,N/A,N/A
ibis Wien Messe,Café Pavillon (Schönbrunn Palace Park),10.8 km,2h 9m,48m,€2.40 (Single Ticket)
ibis Wien Messe,Klimt Villa,11.7 km,2h 20m,52m,€2.40 (Single Ticket)
ibis Wien Messe,Schönbrunn Zoo,10.7 km,2h 7m,47m,€2.40 (Single Ticket)
ibis Wien Messe,Kunsthistorisches Museum Wien,4.5 km,53m,23m,€2.40 (Single Ticket)
ibis Wien Messe,Albertina,4.3 km,51m,22m,€2.40 (Single Ticket)
ibis Wien Messe,Wien Museum Karlsplatz,3.9 km,46m,20m,€2.40 (Single Ticket)
ibis Wien Messe,Karlsplatz,5.3 km,1h 4m,26m,€2.40 (Single Ticket)
ibis Wien Messe,Die Glasfabrik,8.3 km,1h 39m,38m,€2.40 (Single Ticket)
ibis Wien Messe,Mythos Mozart,3.5 km,41m,19m,€2.40 (Single Ticket)
ibis Wien Messe,Danube Park,3.2 km,37m,17m,€2.40 (Single Ticket)
ibis Wien Messe,Votivkirche Light of creation,4.6 km,55m,23m,€2.40 (Single Ticket)
ibis Wien Messe,Spittelberg Neighborhood,5.4 km,1h 5m,26m,€2.40 (Single Ticket)
ibis Wien Messe,Danube Tower,3.9 km,47m,20m,€2.40 (Single Ticket)
ibis Wien Messe,Lainzer Tiergarten,14.7 km,2h 55m,1h 3m,€2.40 (Single Ticket)
ibis Wien Messe,Hermes Villa,13.9 km,2h 47m,1h 0m,€2.40 (Single Ticket)
ibis Wien Messe,Figmuller restaurant/cafe,3.2 km,37m,17m,€2.40 (Single Ticket)
ibis Wien Messe,Heuriger,7.6 km,1h 30m,35m,€2.40 (Single Ticket)
ibis Wien Messe,Gerstner Cafe,3.9 km,47m,20m,€2.40 (Single Ticket)
ibis Wien Messe,Time Travel Magic Vienna History Tour,4.6 km,54m,23m,€2.40 (Single Ticket)
